aX,aY,aZ,gX,gY,gZ
1.015,-0.114,-0.192,3.113,1.343,-2.380
1.018,-0.121,-0.193,2.869,1.038,-2.258
1.017,-0.115,-0.191,1.892,0.427,-1.404
1.016,-0.107,-0.189,1.587,0.244,-1.221
1.013,-0.101,-0.187,1.709,0.244,-1.404
1.007,-0.105,-0.188,1.953,0.427,-1.465
1.011,-0.110,-0.191,2.136,0.549,-1.282
1.015,-0.113,-0.190,2.014,0.305,-1.038
1.013,-0.107,-0.187,1.709,0.183,-0.732
1.008,-0.100,-0.186,1.831,0.366,-0.854
1.007,-0.105,-0.187,2.258,0.671,-1.099
1.009,-0.123,-0.190,2.136,0.671,-0.977
1.010,-0.123,-0.191,1.343,0.549,-0.305
1.009,-0.101,-0.188,1.099,0.732,-0.061
1.007,-0.092,-0.187,1.221,0.977,-0.244
1.009,-0.099,-0.191,2.136,1.465,-0.793
1.011,-0.105,-0.192,2.380,1.526,-0.854
1.014,-0.103,-0.192,2.502,1.404,-0.671
1.016,-0.090,-0.192,2.747,1.282,-0.793
1.018,-0.090,-0.193,3.662,0.977,-1.282
1.015,-0.103,-0.195,4.028,0.671,-1.465
1.012,-0.106,-0.195,4.089,0.244,-1.404
1.016,-0.106,-0.195,4.089,0.183,-1.221
1.017,-0.106,-0.195,4.150,-0.244,-1.160
1.009,-0.107,-0.193,3.967,-0.366,-1.282
1.006,-0.106,-0.193,3.723,-0.427,-1.160
1.010,-0.106,-0.191,3.784,-0.305,-0.854

1.011,-0.268,-0.323,-121.643,-1.892,26.794
1.023,-0.203,-0.327,-145.325,-2.625,25.696
1.017,-0.073,-0.331,-153.076,-4.028,21.729
1.002,-0.068,-0.334,-161.499,-6.775,16.479
0.972,-0.132,-0.344,-165.710,-6.958,17.212
0.983,-0.150,-0.352,-177.673,-6.104,21.545
1.005,-0.132,-0.368,-184.204,-6.592,22.583
1.008,-0.120,-0.373,-195.251,-9.094,21.240
0.989,-0.160,-0.388,-200.073,-10.315,20.630
0.981,-0.198,-0.392,-205.627,-11.047,21.057
0.992,-0.156,-0.386,-219.727,-11.108,23.499
0.990,-0.130,-0.390,-225.708,-10.803,23.499
0.985,-0.131,-0.397,-234.741,-10.986,21.423
0.965,-0.209,-0.413,-239.563,-11.414,21.118
0.988,-0.223,-0.416,-252.075,-11.658,25.146
1.021,-0.090,-0.399,-257.568,-11.841,26.978
1.009,-0.005,-0.384,-259.094,-12.451,22.400
1.007,0.059,-0.346,-255.493,-13.245,18.250
1.026,0.098,-0.315,-243.469,-14.465,13.367
1.030,0.240,-0.252,-234.497,-13.550,10.803
1.022,0.316,-0.220,-206.177,-10.986,1.770
0.997,0.425,-0.148,-186.279,-10.071,-3.235
0.979,0.440,-0.115,-137.573,-6.470,-9.338
0.986,0.426,-0.077,-110.718,-3.967,-8.667
0.981,0.397,-0.072,-57.617,-0.488,-2.686
0.949,0.283,-0.066,-33.813,1.526,-0.183
0.954,0.219,-0.071,4.028,7.812,2.075
0.984,0.082,-0.102,17.761,10.864,2.625
0.995,-0.001,-0.120,28.076,13.123,3.113
1.009,-0.071,-0.133,37.964,14.526,4.272
1.027,-0.162,-0.148,38.147,14.343,4.761
1.032,-0.199,-0.155,31.616,13.123,4.272
1.049,-0.223,-0.158,26.184,11.902,3.662
1.049,-0.216,-0.161,15.015,9.338,3.113
1.040,-0.182,-0.164,10.193,8.240,3.296
1.035,-0.160,-0.161,3.296,6.958,3.235
1.034,-0.123,-0.157,1.160,6.714,2.625
1.036,-0.106,-0.156,-0.732,5.859,1.892
1.034,-0.075,-0.154,-0.305,5.432,1.892
